property_location,age_sq,stories,garage
290 S 1ST ST,1024,2,0
258 N 17TH ST,1600,1.5,0
233 N 1ST ST,441,2,1
227 N 16TH ST,0,2,0
383 N 2ND ST,1764,1.5,1
408 N 4TH ST,256,2,1
286 N 16TH ST,169,2,1
281 N 16TH ST,1600,2,1
228 N 19TH ST,49,2,0
23 N 6TH ST,64,2,1
223 N 5TH ST,0,2,0
287 N 16TH ST,4624,2,1
282 N 9TH ST,16,2,0
358 N 2ND ST,1089,2,1
229 N 11TH ST,0,2,0
358 N 4TH ST,1521,1.5,0
218 N 16TH ST,0,1,1
111 N 10TH ST,0,2,0
1707 N CENTRAL AVE,3969,2,1
26 N 6TH ST,1225,1,1
276 N 16TH ST,2500,1,1
207 N 2ND ST,81,2,0
32 N 9TH ST,196,2,1
252 N 8TH ST,400,1,0
217 N 14TH ST,5625,1.5,1
209 S BARNEGAT AVE,324,1,1
36 N 7TH ST,6400,1,0
32 N 12TH ST,3600,2,1
128 N 7TH ST,3481,1.5,0
32 N 19TH ST,576,2,0
261 N 17TH ST,1849,1,0
283 N 3RD ST,1764,1.5,1
127 N 17TH ST,4761,2,1
343 N 8TH ST,3136,1,1
1815 N OCEAN TER,729,2,1
111 N 19TH ST,2601,2,0
287 N 7TH ST,2116,1.5,0
272 N 16TH ST,2601,1,0
1914 SUNSET AVE,729,2,0
19 N 16TH ST,1,2,1
43 N 23RD ST,3249,2,1
322 N 3RD ST,0,1,1
47 N 23RD ST,121,2,1
113 N 6TH ST,3844,2,1
223 N 1ST ST,2500,2,0
312 N 7TH ST,3025,1,0
274 N 14TH ST,3844,1.5,0
2411 N OCEAN AVE,3844,2,1
31 N 14TH ST,25,2,1
1406 N BARNEGAT AVE,1024,1,0
283 N 6TH ST,169,1,0
294 N 6TH ST,961,2,1
311 N 11TH ST,196,1,1
236 N 5TH ST,4225,1,1
27 N 12TH ST,121,2,1
360 N 10TH ST,144,2,0
362 N 5TH ST,81,2,1
287 N 17TH ST,961,2,1
263 N 4TH ST,1600,2,0
113 S CENTRAL AVE,2209,2,1
271 N 15TH ST,0,2,0
276 DIVISION AVE,2601,1.5,1
411 N 3RD ST,196,2,1
344 N 13TH ST,1521,2,1
246 N 11TH ST,0,2,0
109 N 21ST ST,3844,1.5,1
1 DIVISION AVE,289,2,1
1205 N OCEAN AVE,49,2,1
13 N CENTRAL AVE,2304,1.5,0
211 N 18TH ST,729,1,0
46 N 25TH ST,729,1,0
254 N 15TH ST,2704,1.5,1
372 N 3RD ST,1764,1.5,0
216 S 1ST ST,2500,1,1
312 N 14TH ST,676,2,1
334 N 2ND ST,0,1,0
323 N 1ST ST,2116,1.5,0
212 N CENTRAL AVE,1296,1,0
229 N 11TH ST,0,2,0
250 N 9TH ST,144,1,0
32 N 13TH ST,9,2,0
2313 N OCEAN AVE,2601,2,0
612 N BARNEGAT AVE,4,1,1
111 N 10TH ST,0,2,0
30 S 1ST ST,3721,1,0
610 N CENTRAL AVE,3721,1.5,1
42 N 21ST ST,1,2,0
2414 BAY VISTA DR,841,2,1
342 N 5TH ST,2116,1.5,0
260 N 19TH ST,25,2,1
14 N 6TH ST,0,2,1
28 N 11TH ST,3844,1.5,0
7 N 23RD ST,2601,2,0
313 N 5TH ST,2500,1.5,1
282 N 13TH ST,1296,2,1
225 N 6TH ST,1296,1.5,1
387 N 2ND ST,2025,2,1
51 S 2ND ST,49,2,1
2300 N CENTRAL AVE,3721,2,1
352 N 3RD ST,1681,1.5,1
2105 SUNSET AVE,196,2,1
357 N 6TH ST,3249,2,1
245 N 16TH ST,6561,2,0
6 N 23RD ST,1,3,1
2306 N CENTRAL AVE,3844,1.5,1
242 DIVISION AVE,2916,2,1
245 N 17TH ST,3136,1.5,1
223 S 1ST ST,2916,1.5,1
26 S 1ST ST,3844,1,1
326 S 2ND ST,1936,2,1
282 N 2ND ST,2500,1.5,1
608 N BARNEGAT AVE,4,2,1
353 N 4TH ST,2916,1,1
372 N 2ND ST,3249,1,0
2201 N OCEAN AVE,361,2,1
242 N 5TH ST,4489,1,0
280 N 17TH ST,2500,1.5,0
312 N BARNEGAT AVE,1600,1.5,1
386 N 6TH ST,3364,2,1
236 N 14TH ST,3600,2,0
282 N 10TH ST,100,2,1
110 N 21ST ST,2916,1.5,0
294 DIVISION AVE,2809,2,1
304 N 8TH ST,2209,2,1
380 N 1ST ST,1849,2,0
323 N 7TH ST,2209,1.5,0
29 N 11TH ST,3844,2,0
232 N 23RD ST,2209,2,0
213 N 4TH ST,1600,1.5,1
313 N 12TH ST,3844,2,0
1714 OCEAN TERR,4,3,1
213 N CENTRAL AVE,2116,1,0
315 N 6TH ST,36,1,1
304 N 14TH ST,6084,1,1
273 N 13TH ST,2500,2,1
1911 SUNSET AVE,0,2,0
237 N 17TH ST,1600,1.5,0
226 N 4TH ST,729,1.5,1
363 N 3RD ST,1225,1.5,0
246 N 12TH ST,225,2,0
346 N 8TH ST,1369,1,0
212 N 17TH ST,1600,2,1
326 N 8TH ST,900,2,1
1808 SUNSET AVE,144,2,0
214 N 15TH ST,3136,2,0
257 S 1ST ST,1681,1,1
112 N 15TH ST,1681,1.5,0
125 N 11TH ST,3844,1.5,0
269 N 10TH ST,256,1,0
116 N 4TH ST,196,1,0
243 N 9TH ST,729,2,0
212 N 21ST ST,0,2,1
338 N 8TH ST,1296,1.5,0
2300 N CENTRAL AVE,2601,2,1
209 S BARNEGAT AVE,81,1,1
300 N 13TH ST,1681,2,1
294 N 2ND ST,1296,1.5,1
112 N 16TH ST,4761,2,1
253 S 1ST ST,1681,1.5,0
328 N 10TH ST,324,1,1
310 S 1ST ST,400,1,1
282 N 7TH ST,2401,1,1
108 N 3RD ST,3721,1,1
2106 N CENTRAL AVE,400,1,0
253 N 9TH ST,49,1,0
201 N 2ND ST,0,2,0
111 N 3RD ST,5929,1.5,0
1112 N CENTRAL AVE,3136,1.5,0
254 N 15TH ST,1764,1.5,1
10 N 6TH ST,5184,2,0
270 N 6TH ST,4,1,0
213 N 15TH ST,2809,2,1
243 N 22ND ST,0,2,1
235 N 19TH ST,2601,1,0
252 S 1ST ST,1764,1.5,0
32 N 24TH ST,1849,2.5,0
244 N 7TH ST,2500,2,1
295 N 10TH ST,1681,1,1
610 BAY FRONT,196,2,0
256 N 9TH ST,2304,1.5,0
100 S BARNEGAT AVE,0,1,0
362 N 2ND ST,0,2,0
1618 SUNSET AVE,2116,1.5,0
1506 N BARNEGAT AVE,961,2,0
115 N 10TH ST,225,1,0
316 N 13TH ST,2601,2.5,1
246 N 1ST ST,1296,1.5,0
292 N 14TH ST,144,2,0
231 N 17TH ST,1681,2,0
327 N 10TH ST,1156,1.5,0
1716 SUNSET AVE,144,2,0
237 N 1ST ST,1444,1.5,1
1616 N BARNEGAT AVE,2500,2,0
205 N 11TH ST,5041,2,1
216 DIVISION AVE,1296,2,0
31 N 8TH ST,25,2,0
263 N 10TH ST,256,1,0
32 N 9TH ST,36,2,1
412 N 4TH ST,841,2,0
124 N 7TH ST,2704,2,0
36 N 19TH ST,225,1,0
1808 SUNSET AVE,196,2,0
316 N 7TH ST,2116,1,1
239 N 15TH ST,5184,1,0
266 N 6TH ST,1,1,1
323 N 12TH ST,1369,1,0
2307 N LONG BEACH BLVD,2916,1.5,0
247 N 6TH ST,1225,1.5,0
6 N CENTRAL AVE,289,1,0
31 N 9TH ST,100,2,1
1503 N CENTRAL AVE,5929,1,1
807 N OCEAN AVE,529,2,1
234 N 22ND ST,36,1,1
283 DIVISION AVE,1764,1.5,1
207 N BARNEGAT AVE,900,1.5,1
317 N 1ST ST,900,1.5,0
513 N BARNEGAT AVE,16,2,0
23 N 6TH ST,0,2,0
37 N 14TH ST,4489,2,0
307 N 1ST ST,3249,2,1
236 N 22ND ST,0,2,1
412 N 4TH ST,900,2,0
362 N 5TH ST,0,2,1
39 S 2ND ST,0,2,1
223 N 13TH ST,0,2,1
312 N 3RD ST,529,1.5,0
224 S 1ST ST,1600,2,1
233 N 10TH ST,4489,2,1
214 N 25TH ST,324,1,0
1408 N BARNEGAT AVE,2704,1,0
411 N 3RD ST,36,2,0
40 N 3RD ST,196,2,1
386 N 5TH ST,289,2,0
40 N 17TH ST,2704,2,0
32 N 9TH ST,36,2,1
313 N 8TH ST,1369,1.5,0
212 S 1ST ST,1764,1.5,0
282 N 10TH ST,0,2,1
272 N 8TH ST,1089,2,0
217 N 9TH ST,169,2,0
22 N 17TH ST,9,2,0
45 N 15TH ST,2809,2,1
37 N 12TH ST,25,2,1
226 N 9TH ST,0,1,0
813 N OCEAN AVE,1225,2,1
233 N 19TH ST,529,2,0
27 N 6TH ST,0,2,1
1613 N CENTRAL AVE,4900,1,0
357 S 3RD ST,1089,1,1
245 N 17TH ST,2209,1.5,1
16 N 9TH ST,2809,2,1
214 N 19TH ST,1849,2,1
273 DIVISION AVE,0,2,1
45 DIVISION AVE,1849,2,0
223 N 8TH ST,64,1,1
1719 N OCEAN AVE,64,2,1
324 N 2ND ST,1521,2,1
349 N 11TH ST,729,2,1
36 N 24TH ST,0,2,1
1613 N CENTRAL AVE,4900,1,0
304 N 8TH ST,1444,2,1
108 N 3RD ST,3969,1,1
287 N 8TH ST,3364,1,0
106 N BARNEGAT AVE,484,1,1
1215 N BARNEGAT AVE,441,1,0
273 N 9TH ST,3249,1.5,1
222 N 12TH ST,3969,1,1
47 N 20TH ST,1849,2,0
217 N 1ST ST,1444,1,1
403 N CENTRAL AVE,3364,1.5,0
356 N 9TH ST,729,2,1
304 N 9TH ST,2304,1,0
343 N 6TH ST,1936,1.5,1
225 N 14TH ST,0,1,0
913 N BARNEGAT AVE,4,1,1
316 N 6TH ST,1444,1,1
43 N 24TH ST,1156,2,0
373 N 3RD ST,1444,2,0
353 N 2ND ST,1369,2,1
114 N 11TH ST,0,2,1
236 N 8TH ST,1849,1,0
36 N 12TH ST,1,2,1
1420 SUNSET AVE,2916,1.5,1
2111 N OCEAN AVE,64,2,1
813 N BARNEGAT AVE,225,1,1
350 N 12TH ST,2025,2,1
2201 N OCEAN AVE,100,2,1
304 N 2ND ST,1849,2,1
316 N 4TH ST,1444,1.5,0
233 N 4TH ST,1444,1.5,1
432 N 4TH ST,361,2,1
263 N 2ND ST,1849,1.5,1
228 N 19TH ST,0,2,0
253 N 11TH ST,100,2,1
236 N 2ND ST,1444,2,0
261 DIVISION AVE,1681,1,0
310 S 1ST ST,484,1,1
205 N 12TH ST,2025,1,1
209 N 20TH ST,1,2,0
339 N 4TH ST,1849,1.5,0
102 N 13TH ST,361,1,0
27 DIVISION AVE,2809,2,0
323 N 2ND ST,1444,1.5,0
41 N 20TH ST,2809,1.5,0
16 S CENTRAL AVE,4,1,1
332 N 4TH ST,1444,1,1
1607 SUNSET AVE,2601,1.5,1
29 N 7TH ST,5329,1,0
14 N 24TH ST,1849,1,1
119 N 17TH ST,3969,2,0
1618 SUNSET AVE,2304,1.5,0
503 N CENTRAL AVE,9,1,0
1911 SUNSET AVE,9,2,0
1911 SUNSET AVE,9,2,0
231 N 8TH ST,2401,2,0
241 N 4TH ST,16,2,1
22 N 21ST ST,169,2,1
258 N 2ND ST,0,2,1
366 N 9TH ST,1156,2,0
114 N 17TH ST,1764,1,0
273 N 9TH ST,3249,1.5,1
218 N 23RD ST,2916,2,1
212 N 23RD ST,2704,2,1
245 N 6TH ST,4,1,0
408 N 4TH ST,100,2,1
37 N 16TH ST,5184,2,1
901 N OCEAN AVE,1156,2,0
294 DIVISION AVE,2025,2,1
230 S 1ST ST,2116,1,0
2206 N CENTRAL AVE,361,2,0
349 N 1ST ST,1,2,1
295 S 2ND ST,4,2,0
225 N 6TH ST,841,1.5,1
31 N 6TH ST,4096,2,0
337 N 8TH ST,1521,1.5,1
353 N 10TH ST,1156,2,0
239 S 2ND ST,2025,1.5,0
250 N 3RD ST,144,2,0
41 N 15TH ST,1156,2.5,1
617 N OCEAN AVE,361,2,1
273 N 9TH ST,3364,1.5,1
15 N 23RD ST,841,2,1
285 S 2ND ST,1369,2,1
17 DIVISION AVE,2809,2,0
359 N 5TH ST,2304,2,0
207 N 5TH ST,1369,1,1
376 N 5TH ST,121,2,0
115 N 11TH ST,0,2,1
313 N 4TH ST,0,2,1
218 N 21ST ST,2116,2,0
333 N 7TH ST,1521,1.5,0
349 N 2ND ST,1521,1.5,1
244 S 1ST ST,1296,1.5,1
216 N 17TH ST,0,1,0
239 S 2ND ST,2025,1.5,0
206 N 2ND ST,400,1,0
225 N 18TH ST,1936,2,0
1007 N BARNEGAT AVE,81,1,0
1503 N CENTRAL AVE,6241,1,1
222 N 8TH ST,1936,2,0
372 N 2ND ST,2401,1,0
307 N 1ST ST,3481,2,1
39 N 17TH ST,144,2,0
2205 N CENTRAL AVE,49,2,0
342 N 2ND ST,2601,2,0
333 N 3RD ST,1521,1.5,1
17 N 12TH ST,4096,1.5,0
415 N 4TH ST,961,2,1
270 N 19TH ST,4096,2,0
230 N 19TH ST,1,1,0
216 N 17TH ST,0,1,0
273 N 2ND ST,1936,1.5,0
357 N 4TH ST,16,2,1
2306 N CENTRAL AVE,2916,1,1
119 N 17TH ST,4096,2,0
1013 N BARNEGAT AVE,1600,1.5,1
213 N 1ST ST,1521,1,1
307 N OCEAN AVE,361,2,1
287 N 10TH ST,1936,1,0
43 N 11TH ST,9,2,1
212 DIVISION AVE,1521,2,0
346 N 9TH ST,2025,2,0
205 N 16TH ST,1296,1.5,1
2401 N CENTRAL AVE,3481,2,1
26 N 12TH ST,2916,2,1
233 S 2ND ST,1936,1.5,0
27 N 4TH ST,64,2,0
363 N 10TH ST,2500,2,0
45 S 2ND ST,0,1,1
347 N 8TH ST,49,2,1
349 N 3RD ST,1024,2,0
1109 N CENTRAL AVE,2401,1,0
218 N 6TH ST,7569,2,0
330 S 1ST ST,2704,2,0
278 N 8TH ST,2500,1.5,0
342 S 2ND ST,1296,1.5,0
252 N 5TH ST,3481,1,1
2412 N CENTRAL AVE,1296,1.5,1
1207 N CENTRAL AVE,2401,1,0
1519 N OCEAN AVE,64,2,1
215 N 18TH ST,4096,2,0
352 N 6TH ST,1,2,1
509 N OCEAN AVE,5625,1,0
209 S BARNEGAT AVE,169,1,1
26 N 1ST ST,3364,1.5,1
349 N 4TH ST,2025,2,1
361 N 9TH ST,2025,1.5,0
27 N 6TH ST,4,2,1
262 N 10TH ST,3025,1,1
248 N 2ND ST,1849,1,1
2106 N CENTRAL AVE,576,1,0
323 N 11TH ST,4,2,1
315 S 3RD ST,0,2,1
280 N 4TH ST,0,2,1
107 N OCEAN AVE,2025,2,0
1614 SUNSET AVE,2116,1.5,0
393 N 10TH ST,16,2,1
37 N 14TH ST,4761,2,0
41 N 15TH ST,1225,2.5,1
27 N 9TH ST,9,2,1
252 N 11TH ST,0,1,0
13 N 9TH ST,1225,2,0
336 N 2ND ST,2500,1.5,0
111 N 11TH ST,3025,1.5,1
204 S 1ST ST,3481,2,0
217 N 11TH ST,3969,1,0
294 DIVISION AVE,2116,2,1
366 N 4TH ST,1600,1.5,1
222 N 8TH ST,2025,2,0
312 S 2ND ST,1444,1.5,1
7 N 23RD ST,2025,2,0
386 N 4TH ST,289,1,1
267 N 6TH ST,1849,1.5,1
112 S BARNEGAT AVE,16,1,0
319 S 3RD ST,0,1,0
519 N OCEAN AVE,4,2,0
33 N 15TH ST,169,2,1
317 N 8TH ST,1849,1,0
19 N 9TH ST,6400,2,0
19 N 14TH ST,9,2,1
272 DIVISION AVE,2025,2,0
407 N 3RD ST,900,1,0
222 N 6TH ST,3481,1.5,1
338 N 8TH ST,1600,1.5,0
387 N 1ST ST,2500,2,0
49 N 10TH ST,16,2,1
22 N 9TH ST,900,1,1
257 N 12TH ST,1444,2,1
21 N 17TH ST,4900,2,1
17 N 13TH ST,3025,2,0
387 N 3RD ST,0,2,0
267 N 8TH ST,0,2,0
28 N 8TH ST,4225,1,0
304 N 2ND ST,2025,2,1
229 N 5TH ST,1764,2,0
242 N 2ND ST,1369,2,0
114 S CENTRAL AVE,3025,1,1
207 S 2ND ST,1600,1.5,0
418 N 3RD ST,100,2,1
23 N 14TH ST,4761,2,1
236 N 22ND ST,9,2,1
219 N 22ND ST,2916,1,1
112 N 3RD ST,5041,1,0
108 SHORE AVE,784,1.5,0
2306 N CENTRAL AVE,3249,1.5,1
600 N BARNEGAT AVE,2809,2,1
265 S 2ND ST,4356,2,0
201 S LONG BEACH BLVD,1,2,1
36 N 24TH ST,16,2,1
294 N 1ST ST,1369,2,1
377 N 4TH ST,144,2,1
219 N 19TH ST,36,2,0
45 N 3RD ST,2500,1,0
119 N 14TH ST,3364,1,1
249 N 2ND ST,2116,1,1
311 S 2ND ST,2500,2,0
269 N 10TH ST,400,1,0
222 N 9TH ST,0,2,1
226 N 20TH ST,2916,1.5,1
223 N 3RD ST,1521,1.5,1
273 N 12TH ST,2601,2,1
2303 BAY FRONT,1764,2,1
115 N 2ND ST,529,1,1
312 N 4TH ST,1225,1.5,1
393 N 4TH ST,841,2,1
258 DIVISION AVE,2025,1,0
1412 N CENTRAL AVE,3721,2,1
228 N 6TH ST,2601,1.5,1
216 N 8TH ST,3136,1,1
276 DIVISION AVE,2116,1.5,1
2100 SUNSET AVE,1600,1.5,0
343 N 12TH ST,1681,1.5,0
282 N 13TH ST,961,2,0
258 N 4TH ST,1296,1,0
255 N 17TH ST,2601,2,0
913 N BARNEGAT AVE,25,1,1
2201 N CENTRAL AVE,3600,1,1
613 N OCEAN AVE,1089,2,0
267 DIVISION AVE,2601,1,0
1718 N CENTRAL AVE,5476,2,0
323 N 1ST ST,1225,1.5,0
2201 N CENTRAL AVE,3721,1,1
22 N 5TH ST,256,2,0
263 N 3RD ST,1681,2,1
411 N 4TH ST,676,2,1
26 N 6TH ST,900,1,0
301 N 4TH ST,2500,2,0
1907 N OCEAN AVE,81,2,1
9 N 5TH ST,676,2,1
1306 SUNSET AVE,1681,1,0
266 N 6TH ST,25,1,1
316 N 5TH ST,2601,1,1
254 N 15TH ST,2116,1.5,1
906 N CENTRAL AVE,144,1,0
1608 N BARNEGAT AVE,3721,1,1
310 N 15TH ST,4356,2,0
42 N 25TH ST,2916,2,0
1614 SUNSET AVE,2209,1.5,0
243 N 2ND ST,1681,1.5,0
21 N 3RD ST,1296,2,1
1107 N BARNEGAT AVE,3136,1.5,0
28 S 2ND ST,2304,2,0
308 N 7TH ST,2601,1.5,1
200 N 23RD ST,3025,2,1
332 N 11TH ST,2304,1,1
16 N 10TH ST,484,2,1
214 N 16TH ST,3249,2,1
22 N 25TH ST,2809,2,1
16 SHORE AVE,1444,2,1
112 S BARNEGAT AVE,49,1,0
912 N CENTRAL AVE,1764,1.5,0
236 N 15TH ST,196,1,0
17 N 7TH ST,1,2,1
286 N 6TH ST,1600,1,0
19 N 5TH ST,196,2,1
358 N 4TH ST,2116,1.5,0
15 N 15TH ST,1,2,1
114 N 17TH ST,2025,1,0
270 N 14TH ST,3249,2,0
236 N 4TH ST,25,2,1
24 N 3RD ST,1,2,1
236 N 24TH ST,841,2,1
1815 N OCEAN TER,529,2,1
118 N 18TH ST,25,1.5,0
47 N 19TH ST,729,1,1
228 N 2ND ST,2209,1,1
327 N 7TH ST,1764,1.5,0
352 N 6TH ST,9,2,1
233 N 10TH ST,5184,2,1
501 N BARNEGAT AVE,3249,2,1
116 N 22ND ST,100,1,0
231 N 14TH ST,1089,1,1
414 N 3RD ST,1225,2,1
42 N 17TH ST,2209,2,0
331 N 2ND ST,289,2,1
122 N 19TH ST,3249,1,0
267 N 11TH ST,1369,2,1
24 S 2ND ST,1369,2,0
2307 N OCEAN AVE,2209,2,0
713 N BARNEGAT AVE,1764,2,1
422 N 3RD ST,729,2,1
106 N CENTRAL AVE,1444,1.5,0
316 N 6TH ST,1764,1,1
20 N 22ND ST,0,2,1
801 N OCEAN AVE,1,2,1
1501 N OCEAN AVE,100,2,1
34 DIVISION AVE,1,2,1
20 N 3RD ST,1,2,0
253 N 12TH ST,2304,1.5,1
267 N 6TH ST,2025,1.5,1
276 N 16TH ST,2209,1,1
503 N CENTRAL AVE,36,1,0
250 N 3RD ST,225,2,1
343 N 4TH ST,2304,1,0
215 N 18TH ST,4489,2,0
124 N 23RD ST,1600,1,0
258 N 14TH ST,5776,1,0
270 N 4TH ST,1521,1,0
26 N 12TH ST,3364,2,1
510 N CENTRAL AVE,0,2,1
1 S 3RD ST,484,2,1
200 N 17TH ST,6084,1.5,1
1105 N OCEAN AVE,1,2,0
366 N 5TH ST,2704,1,1
2209 N CENTRAL AVE,3136,1,1
222 N 3RD ST,1444,1.5,0
509 N OCEAN AVE,6084,1,0
215 S LONG BEACH BLVD,1,2,1
343 N 10TH ST,2304,1,1
212 N BARNEGAT AVE,0,2,1
313 N 9TH ST,1521,1.5,1
237 N 5TH ST,2401,1.5,0
412 N BARNEGAT AVE,2704,1,1
17 DIVISION AVE,3364,2,0
49 N 3RD ST,2304,1.5,0
482 SCHODERER LN,144,2,1
329 N 12TH ST,1,2,1
440 SCHODERER LN,676,2,1
1404 N CENTRAL AVE,4761,1.5,1
342 S 2ND ST,1681,1.5,0
222 N 11TH ST,3364,1.5,0
1402 SUNSET AVE,2500,2,1
27 N 7TH ST,3364,2,0
427 N 4TH ST,576,1.5,0
243 S 1ST ST,1681,1,0
259 N 1ST ST,2116,1,0
304 N 8TH ST,1849,2,1
16 N 11TH ST,1,2,1
1515 N OCEAN TERR,4,2,1
23 N 4TH ST,9,2,1
283 DIVISION AVE,1600,1.5,1
116 DIVISION AVE,529,1,0
291 DIVISION AVE,1600,2,1
338 N 6TH ST,2025,1,1
226 N 3RD ST,625,1,0
226 N 5TH ST,1089,1,1
613 N BARNEGAT AVE,81,2,1
327 N 11TH ST,784,1,1
1900 N CENTRAL AVE,1444,2,1
213 N 16TH ST,81,1,0
275 N 15TH ST,2304,2,0
43 N 22ND ST,4624,1.5,1
1317 N CENTRAL AVE,361,1,0
108 S CENTRAL AVE,2304,2,0
115 N 23RD ST,0,2,1
289 N 6TH ST,7056,1.5,0
114 S CENTRAL AVE,4,2,0
253 S 1ST ST,2304,1.5,0
311 S 2ND ST,2916,2,1
22 N 9TH ST,9,2,1
5 N 10TH ST,144,2,1
41 N 14TH ST,5625,2,0
1109 N OCEAN AVE,4,2,0
38 N 22ND ST,3481,1.5,1
901 N OCEAN AVE,0,2,1
324 N 2ND ST,2025,2,0
236 N 12TH ST,2916,2,1
207 N 21ST ST,225,1,0
19 DIVISION AVE,81,2,1
17 N 8TH ST,2304,2,1
122 S 1ST ST,2704,1,1
249 N 7TH ST,1,2,1
305 N 7TH ST,1936,2,1
38 N 22ND ST,3481,1.5,1
218 N 6TH ST,8464,2,1
124 N 7TH ST,3481,2,0
267 N 5TH ST,1296,2,0
383 N 3RD ST,1936,2,1
338 N 8TH ST,1936,1.5,0
212 N 9TH ST,81,1,0
201 N 2ND ST,64,2,1
209 N 20TH ST,49,2,0
513 N BARNEGAT AVE,121,2,0
1017 N OCEAN AVE,576,2,1
118 N 1ST ST,2304,1,1
319 N CENTRAL AVE,1369,2,1
257 N 13TH ST,2916,1.5,1
280 N 14TH ST,4761,2,1
1805 N OCEAN TERR,121,2,1
107 N 9TH ST,6241,2,0
261 N 17TH ST,2704,1,1
45 DIVISION AVE,2401,2,0
229 N 16TH ST,0,1,0
1605 N OCEAN AVE,4,2,0
267 DIVISION AVE,2916,1,0
266 N 3RD ST,2209,2,0
27 N 24TH ST,576,2,1
38 N 10TH ST,1,2,0
248 N 2ND ST,2304,1,1
263 N 2ND ST,2401,1.5,1
1513 N OCEAN AVE,36,2,1
313 N 9TH ST,1764,1.5,1
414 N 3RD ST,1444,2,1
32 N 19TH ST,529,2,0
42 N 18TH ST,4900,1,1
44 N 22ND ST,1,2,1
239 N 22ND ST,64,2,1
272 N 7TH ST,16,1,0
124 N 12TH ST,3600,1.5,1
212 N 20TH ST,49,1,0
7 S CENTRAL AVE,9,2,1
243 N 2ND ST,2025,1.5,1
41 N 19TH ST,2500,2,1
21 N 18TH ST,729,1,1
323 N 5TH ST,1600,1,0
237 N 14TH ST,576,1,0
1420 SUNSET AVE,3721,1.5,1
26 N 23RD ST,361,2,1
1612 N BARNEGAT AVE,4900,2,1
228 N 2ND ST,2500,1,1
222 N 3RD ST,1600,1.5,0
210 N 11TH ST,100,2,1
226 N 24TH ST,676,2,1
213 N OCEAN AVE,25,2,1
217 N 9TH ST,441,2,1
112 N CENTRAL AVE,3600,1,0
112 N 7TH ST,3025,2,1
7 S OCEAN AVE,2304,2,1
372 N 10TH ST,2704,1.5,0
