OID_,Id,SPOT,FLOORS,FLR_RAN,VIEW_2010,OFFSETA,GRIDCODE,SUM_LENGTH
,2355,5,2,1,0,10,0,0
,2356,4.5,2,1,0,10,0,0
,2357,6.5,2,1,0,10,0,0
,2358,7.5,2,1,0,10,0,0
,2359,14.66666667,2,1,17.9621466,10,1,0.313339668
,2360,8.5,1,1,0,10,0,0
,2361,6.5,1,1,0,10,0,0
,2362,6.5,2,1,0,10,0,0
,2363,5.5,1,1,0,10,0,0
,2364,5,2,1,0,10,0,0
,2365,3.5,1,1,0,10,0,0
,2366,3.5,2,1,0,10,0,0
,2367,3.5,2,1,0,10,0,0
,2368,4,2,1,0,10,0,0
,2369,5,1.5,1,0,10,0,0
,2370,3.5,2,1,0,10,0,0
,2371,4.5,1.5,1,0,10,0,0
,2372,5,1,1,0,10,0,0
,2373,5.5,2,1,0,10,0,0
,2374,5.5,1,1,0,10,0,0
,2375,4.5,1.5,1,0,10,0,0
,2376,6,1.5,1,0,10,0,0
,2377,4.5,1.5,1,0,10,0,0
,2378,5.5,1.5,1,0,10,0,0
,2379,6,2,1,0,10,0,0
,2380,0,2,1,0,10,0,0
,2381,0,2,1,0,10,0,0
,2382,5.333333333,1.5,1,0,10,0,0
,2383,4.5,2,1,0,10,0,0
,2384,5,1,1,0,10,0,0
,2385,5,1,1,0,10,0,0
,2386,5.5,1.5,1,0,10,0,0
,2387,5,2,1,0,10,0,0
,2388,5,1,1,0,10,0,0
,2389,4.5,1.5,1,0,10,0,0
,2390,4.5,2,1,0,10,0,0
,2391,4.5,2,1,0,10,0,0
,2392,4,2,1,0,10,0,0
,2393,3.5,1,1,0,10,0,0
,2394,4.5,1,1,0,10,0,0
,2395,6,2,1,0,10,0,0
,2396,14.5,2,1,20.03805424,10,1,0.349552724
,2397,12.42857143,2,1,14.80455021,10,1,0.258257154
,2398,8.5,2,1,0,10,0,0
,2399,8,2,1,0,10,0,0
,2400,7,2,1,0,10,0,0
,2401,7.5,1.5,1,0,10,0,0
,2402,5,2,1,0,10,0,0
,2403,4,1,1,0,10,0,0
,2404,5,1,1,0,10,0,0
,2405,5,1.5,1,0,10,0,0
,2406,6,1.5,1,0,10,0,0
,2407,5.5,1,1,0,10,0,0
,2408,5,1,1,0,10,0,0
,2409,4.5,2,1,0,10,0,0
,2410,5,1.5,1,0,10,0,0
,2411,0,2,1,0,10,0,0
,2412,0,2,1,0,10,0,0
,2413,0,1,1,0,10,0,0
,2414,0,1.5,1,0,10,0,0
,2415,3.5,1.5,1,0,10,0,0
,2416,5,2,1,0,10,0,0
,2417,5,1,1,0,10,0,0
,2418,5.5,1,1,0,10,0,0
,2419,6.5,2,1,0,10,0,0
,2420,5.5,2,1,0,10,0,0
,2421,6,1.5,1,0,10,0,0
,2422,4.5,2,1,0,10,0,0
,2423,5.5,1,1,0,10,0,0
,2424,5,2,1,0,10,0,0
,2425,4.5,1,1,0,10,0,0
,2426,5,1,1,0,10,0,0
,2427,4,1,1,0,10,0,0
,2428,4.5,1,1,0,10,0,0
,2429,4,1.5,1,0,10,0,0
,2430,14.5,2,1,88.32222934,10,1,1.540732223
,2431,13,2,1,0,10,0,0
,2432,8,2,1,0,10,0,0
,2433,7.5,2,1,0,10,0,0
,2434,6.5,2,1,0,10,0,0
,2435,5,1,1,0,10,0,0
,2436,5.5,1,1,0,10,0,0
,2437,5,1,1,0,10,0,0
,2438,4,1,1,0,10,0,0
,2439,4.5,1,1,0,10,0,0
,2440,4,2,1,0,10,0,0
,2441,4.5,2,1,0,10,0,0
,2442,6,1.5,1,0,10,0,0
,2443,5.5,1,1,0,10,0,0
,2444,6,1.5,1,0,10,0,0
,2445,6,1,1,0,10,0,0
,2446,5.5,2,1,0,10,0,0
,2447,4,1.5,1,0,10,0,0
,2448,5,2,1,0,10,0,0
,2449,4,1.5,1,0,10,0,0
,2450,2,2,1,0,10,0,0
,2451,0,1.5,1,0,10,0,0
,2452,3.5,1.5,1,0,10,0,0
,2453,4.5,2,1,0,10,0,0
,2454,5,1,1,0,10,0,0
,2455,4.5,2,1,0,10,0,0
,2456,4.5,1,1,0,10,0,0
,2457,5,2,1,0,10,0,0
,2458,5.5,1.5,1,0,10,0,0
,2459,4.5,1.5,1,0,10,0,0
,2460,4.5,2,1,0,10,0,0
,2461,4.5,1,1,0,10,0,0
,2462,4.5,1.5,1,0,10,0,0
,2463,5.5,1.5,1,0,10,0,0
,2464,5.5,1,1,0,10,0,0
,2465,8,2,1,0,10,0,0
,2466,9.857142857,2,1,0,10,0,0
,2467,8,2,1,0,10,0,0
,2468,8,2,1,0,10,0,0
,2469,6.5,2,1,0,10,0,0
,2470,4.5,1.5,1,0,10,0,0
,2471,4.5,1.5,1,0,10,0,0
,2472,4.5,1.5,1,0,10,0,0
,2473,5.5,2,1,0,10,0,0
,2474,5,1,1,0,10,0,0
,2475,5.5,1,1,0,10,0,0
,2476,5,1,1,0,10,0,0
,2477,5.5,1,1,0,10,0,0
,2478,4.5,2,1,0,10,0,0
,2479,0,1,1,0,10,0,0
,2480,2,2,1,0,10,0,0
,2481,3.5,1,1,0,10,0,0
,2482,4.5,1,1,0,10,0,0
,2483,4.5,1,1,0,10,0,0
,2484,4.5,2,1,0,10,0,0
,2485,5.5,1.5,1,0,10,0,0
,2486,5,1.5,1,0,10,0,0
,2487,5,1.5,1,0,10,0,0
,2488,6,2,1,0,10,0,0
,2489,4.5,2,1,0,10,0,0
,2490,5,1,1,0,10,0,0
,2491,5.5,1,1,0,10,0,0
,2492,4.5,2,1,0,10,0,0
,2493,8.5,1,1,0,10,0,0
,2494,10.5,2,1,0,10,0,0
,2495,10,2,1,0,10,0,0
,2496,14.5,2,1,60.44917727,10,1,1.054502315
,2497,16.4,1,1,26.25694247,10,1,0.458037774
,2498,20.5,2,1,114.9572917,10,1,2.005366088
,2500,17,2,1,69.17402684,10,1,1.206702468
,2501,6.5,2,1,0,10,0,0
,2502,7.5,2,1,0,10,0,0
,2503,8.5,2,1,0,10,0,0
,2504,7.5,1,1,0,10,0,0
,2505,4.5,2,1,0,10,0,0
,2506,5,2,1,0,10,0,0
,2507,6.5,1.5,1,0,10,0,0
,2508,5,2,1,0,10,0,0
,2509,5,1.5,1,0,10,0,0
,2510,5,1,1,0,10,0,0
,2511,5,1.5,1,0,10,0,0
,2512,4.5,2,1,0,10,0,0
,2513,5,1.5,1,0,10,0,0
,2514,5,1.5,1,0,10,0,0
,2515,1.5,2,1,0,10,0,0
,2516,1.5,2,1,0,10,0,0
,2517,1.5,1,1,0,10,0,0
,2518,3,1.5,1,0,10,0,0
,2519,3.5,1,1,0,10,0,0
,2520,4,1,1,0,10,0,0
,2521,4.5,1,1,0,10,0,0
,2522,3.5,1.5,1,0,10,0,0
,2523,4,1.5,1,0,10,0,0
,2524,4,2,1,0,10,0,0
,2525,5,2,1,0,10,0,0
,2526,4.5,1,1,0,10,0,0
,2527,4.5,1,1,0,10,0,0
,2528,4.5,2,1,0,10,0,0
,2529,5,1,1,0,10,0,0
,2530,7.5,1,1,0,10,0,0
,2531,6.5,1,1,0,10,0,0
,2532,6.5,2,1,0,10,0,0
,2533,8.5,2,1,0,10,0,0
,2534,13.5,2,1,20.76978958,10,1,0.36231744
,2535,16,2,1,85.67729232,10,1,1.494592766
,2536,15.83333333,2,1,59.70627877,10,1,1.041542863
,2537,8.5,2,1,0,10,0,0
,2538,8.5,2,1,0,10,0,0
,2539,7.5,2,1,0,10,0,0
,2540,7.5,2,1,0,10,0,0
,2541,8.5,2,1,0,10,0,0
,2542,4.5,1,1,0,10,0,0
,2543,4.5,1,1,0,10,0,0
,2544,4.5,2,1,0,10,0,0
,2545,4.5,1,1,0,10,0,0
,2546,4,2,1,0,10,0,0
,2547,4.5,1,1,0,10,0,0
,2548,4,1.5,1,0,10,0,0
,2549,3.5,2,1,0,10,0,0
,2550,2.333333333,2,1,0,10,0,0
,2551,4.5,1,1,0,10,0,0
,2552,3.5,2,1,0,10,0,0
,2553,3.5,1.5,1,0,10,0,0
,2554,4.5,1,1,0,10,0,0
,2555,4.5,1,1,0,10,0,0
,2556,4,2,1,0,10,0,0
,2557,4.5,2,1,0,10,0,0
,2558,5.5,1.5,1,0,10,0,0
,2559,4,1,1,0,10,0,0
,2560,5,2,1,0,10,0,0
,2561,7,2,1,0,10,0,0
,2562,7,2,1,0,10,0,0
,2563,8,2,1,0,10,0,0
,2564,10,2,1,0,10,0,0
,2565,9.5,2,1,0,10,0,0
,2566,8.5,2,1,0,10,0,0
,2567,14,2,1,32.19220526,10,1,0.561575136
,2568,12.5,2,1,14.4256719,10,1,0.251647832
,2569,11.5,2,1,0,10,0,0
,2570,9,2,1,0,10,0,0
,2571,7.5,1.5,1,0,10,0,0
,2572,6,2,1,0,10,0,0
,2573,4.5,2,1,0,10,0,0
,2574,5,1,1,0,10,0,0
,2575,5,2,1,0,10,0,0
,2576,4.5,2,1,0,10,0,0
,2577,4.5,1.5,1,0,10,0,0
,2578,5,2,1,0,10,0,0
,2579,4.5,2,1,0,10,0,0
,2580,4.5,1,1,0,10,0,0
,2581,4.5,1,1,0,10,0,0
,2582,5,1,1,0,10,0,0
,2583,3,1,1,0,10,0,0
,2584,3,1,1,0,10,0,0
,2585,5.5,2,1,0,10,0,0
,2586,4.5,2,1,0,10,0,0
,2587,4.5,2,1,0,10,0,0
,2588,4.5,2,1,0,10,0,0
,2589,4.5,2,1,0,10,0,0
,2590,5,1,1,0,10,0,0
,2591,4.5,1,1,0,10,0,0
,2592,6.5,1,1,0,10,0,0
,2593,5.75,2,1,0,10,0,0
,2594,6,1.5,1,0,10,0,0
,2595,5.5,1.5,1,0,10,0,0
,2596,7,1.5,1,0,10,0,0
,2597,5.5,2,1,0,10,0,0
,2598,5.5,1.5,1,0,10,0,0
,2599,6.5,2,1,0,10,0,0
,2600,7,2,1,0,10,0,0
,2601,8,2,1,0,10,0,0
,2602,7,2,1,0,10,0,0
,2603,8,2,1,0,10,0,0
,2604,11,2,1,0,10,0,0
,2605,12,2,1,0,10,0,0
,2606,12.5,2,1,1.291319632,10,1,0.022526354
,2607,9,1.5,1,0,10,0,0
,2608,7.5,2,1,0,10,0,0
,2609,7,2,1,0,10,0,0
,2610,6.5,2,1,0,10,0,0
,2611,5.5,1,1,0,10,0,0
,2612,5.5,1,1,0,10,0,0
,2613,5.5,1,1,0,10,0,0
,2614,4.5,2,1,0,10,0,0
,2615,5,1.5,1,0,10,0,0
,2616,4.5,2,1,0,10,0,0
,2617,3.5,2,1,0,10,0,0
,2618,3,2,1,0,10,0,0
,2619,3.5,2,1,0,10,0,0
,2620,4,1.5,1,0,10,0,0
,2621,3.5,2,1,0,10,0,0
,2622,4,2,1,0,10,0,0
,2623,3.5,1,1,0,10,0,0
,2624,4.5,1.5,1,0,10,0,0
,2625,4.5,1,1,0,10,0,0
,2626,4.5,2,1,0,10,0,0
,2627,4.5,2,1,0,10,0,0
,2628,5.5,1,1,0,10,0,0
,2629,9.5,2,1,0,10,0,0
,2630,8.5,2,1,0,10,0,0
,2631,8,2,1,0,10,0,0
,2632,7.5,2,1,0,10,0,0
,2633,7.5,2,1,0,10,0,0
,2634,6.5,2,1,0,10,0,0
,2635,6.5,1.5,1,0,10,0,0
,2636,6,1,1,0,10,0,0
,2637,6.5,1.5,1,0,10,0,0
,2638,6.5,2,1,0,10,0,0
,2639,4.5,2,1,0,10,0,0
,2640,4.5,1.5,1,0,10,0,0
,2641,4.5,1,1,0,10,0,0
,2642,5,1,1,0,10,0,0
,2643,4.5,1,1,0,10,0,0
,2644,4.5,1,1,0,10,0,0
,2645,5.333333333,1.5,1,0,10,0,0
,2646,4.5,2,1,0,10,0,0
,2647,4.5,1.5,1,0,10,0,0
,2648,3,1,1,0,10,0,0
,2649,4.5,1,1,0,10,0,0
,2650,3.5,2,1,0,10,0,0
,2651,2,2,1,0,10,0,0
,2652,5,1,1,0,10,0,0
,2653,4,2,1,0,10,0,0
,2654,3.5,2,1,0,10,0,0
,2655,4.5,1,1,0,10,0,0
,2656,4.5,1,1,0,10,0,0
,2657,5.5,2,1,0,10,0,0
,2658,5.5,2,1,0,10,0,0
,2659,5.5,1,1,0,10,0,0
,2660,5.5,2,1,0,10,0,0
,2661,6.5,2,1,0,10,0,0
,2662,6.5,2.5,1,0,10,0,0
,2663,7,2,1,0,10,0,0
,2664,10,2,1,0,10,0,0
,2665,10.5,2,1,0,10,0,0
,2666,13.25,2,1,14.60806899,10,1,0.254829648
,2667,13,2,1,70.85092446,10,1,1.235955016
,2668,13.5,2,1,47.33206319,10,1,0.825681547
,2669,12.6,2,1,12.50669599,10,1,0.218172363
,2670,8.5,2,1,0,10,0,0
,2671,8.5,2,1,0,10,0,0
,2672,6,2,1,0,10,0,0
,2673,7,2,1,0,10,0,0
,2674,6,2,1,0,10,0,0
,2675,6,1,1,0,10,0,0
,2676,5.5,1.5,1,0,10,0,0
,2677,6,1,1,0,10,0,0
,2678,5.5,1.5,1,0,10,0,0
,2679,5.5,1,1,0,10,0,0
,2680,5,2,1,0,10,0,0
,2681,5.5,1,1,0,10,0,0
,2682,6,2,1,0,10,0,0
,2683,5.5,1,1,0,10,0,0
,2684,5,2,1,0,10,0,0
,2685,5.5,1.5,1,0,10,0,0
,2686,5.5,1.5,1,0,10,0,0
,2687,5,1.5,1,0,10,0,0
,2688,4.5,1.5,1,0,10,0,0
,2689,4.5,1.5,1,0,10,0,0
,2690,5.5,2,1,0,10,0,0
,2691,4,2,1,0,10,0,0
,2692,4,1,1,0,10,0,0
,2693,3.5,2,1,0,10,0,0
,2694,4,2,1,0,10,0,0
,2695,4.5,2,1,0,10,0,0
,2696,4.5,1,1,0,10,0,0
,2697,4.5,2,1,0,10,0,0
,2698,4.5,1.5,1,0,10,0,0
,2699,5,2,1,0,10,0,0
,2700,5.5,1.5,1,0,10,0,0
,2701,5,2,1,0,10,0,0
,2702,5.5,2,1,0,10,0,0
,2703,5.5,2,1,0,10,0,0
,2704,6,2,1,0,10,0,0
,2705,6.5,1.5,1,0,10,0,0
,2706,5.5,2,1,0,10,0,0
,2707,6.5,1,1,0,10,0,0
,2708,6.5,2,1,0,10,0,0
,2709,9,2,1,0,10,0,0
,2710,11.5,3,1,0,10,0,0
,2711,15,2,1,76.06921987,10,1,1.32698528
,2712,11.5,2,1,0,10,0,0
,2713,9.5,1,1,0,10,0,0
,2714,11,2,1,0,10,0,0
,2715,7.5,2,1,0,10,0,0
,2716,7.5,1,1,0,10,0,0
,2717,5.5,1,1,0,10,0,0
,2718,5,1,1,0,10,0,0
,2719,5.5,2,1,0,10,0,0
,2720,5.5,2,1,0,10,0,0
,2721,5.5,2,1,0,10,0,0
,2722,5.5,1,1,0,10,0,0
,2723,4.5,2,1,0,10,0,0
,2724,4.5,2,1,0,10,0,0
,2725,4.5,2,1,0,10,0,0
,2726,4.5,2,1,0,10,0,0
,2727,4.5,2,1,0,10,0,0
,2728,6,2,1,0,10,0,0
,2729,5,1,1,0,10,0,0
,2730,5,2,1,0,10,0,0
,2731,5,1.5,1,0,10,0,0
,2732,5.5,2,1,0,10,0,0
,2733,5.5,1,1,0,10,0,0
,2734,5.5,2,1,0,10,0,0
,2735,5.5,2,1,0,10,0,0
,2736,6.5,1,1,0,10,0,0
,2737,6.5,2,1,0,10,0,0
,2738,14.5,2,1,2.581061378,10,1,0.045025182
,2739,11,2,1,0,10,0,0
,2740,5.5,2,1,0,10,0,0
,2741,6.5,1.5,1,0,10,0,0
,2742,5.5,2,1,0,10,0,0
,2743,6,1.5,1,0,10,0,0
,2744,5.5,2,1,0,10,0,0
,2745,4.5,2,1,0,10,0,0
,2746,5.5,2,1,0,10,0,0
,2747,4.5,2,1,0,10,0,0
,2748,5,1.5,1,0,10,0,0
,2749,4,2,1,0,10,0,0
,2750,4.5,1,1,0,10,0,0
,2751,4.5,1,1,0,10,0,0
,2752,3.5,1,1,0,10,0,0
,2753,5,1,1,0,10,0,0
,2754,5,1.5,1,0,10,0,0
,2755,6,2,1,0,10,0,0
,2756,6.5,1.5,1,0,10,0,0
,2757,13.5,2,1,5.55535753,10,1,0.096910126
,2758,16.5,2,1,49.81161342,10,1,0.868935923
,2759,17,2,1,85.20920593,10,1,1.486427259
,2760,17,3,1,75.51602912,10,1,1.317335175
,2761,9,2,1,0,10,0,0
,2762,6,1.5,1,0,10,0,0
,2763,5.5,1,1,0,10,0,0
,2764,4.5,2,1,0,10,0,0
,2765,5,2,1,0,10,0,0
,2766,5,1,1,0,10,0,0
,2767,4.5,2,1,0,10,0,0
,2768,5.5,1,1,0,10,0,0
,2769,5.5,1,1,0,10,0,0
